"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ptp4a3",1.9027332657212e-56,-1.58893557519171,0.282,0.867,3.38096673986e-52
"Slc7a7",4.23929628539369e-54,-1.35619807417692,0.125,0.673,7.53280556951605e-50
"Gm5963",6.56158148588859e-41,-1.12367214123141,0.861,0.964,1.16592741422754e-36
"Epha2",3.16729535468023e-39,-1.24665211928386,0.218,0.685,5.62796711573129e-35
"Car2",7.3827741136123e-39,-1.53686688845109,0.463,0.861,1.31184513224777e-34
"Txnrd1",2.68577178763554e-35,-1.07050149668345,0.796,0.97,4.77234788944958e-31
"Dnmt3l",4.07845446221819e-35,-1.36667250220707,0.333,0.764,7.2470057339155e-31
"Enc1",2.15018093995152e-33,-1.05571435463442,0.151,0.564,3.82065651219985e-29
"Pdk1",1.32741755683953e-32,-1.22217344638842,0.343,0.764,2.35868825674816e-28
"Zfp296",3.2300921710147e-31,-1.3649151058228,0.468,0.83,5.73955077867601e-27
"Col18a1",2.36050156087468e-28,-1.03708820418633,0.186,0.588,4.19437522351822e-24
"Txnip",9.75052481055861e-28,-1.05461588876098,0.463,0.824,1.73257075358816e-23
"Cryge",1.85174552004442e-27,-1.06583303618595,0.149,0.521,3.29036661456693e-23
"Ltbp4",2.95995988866304e-26,-1.03586136232245,0.365,0.739,5.25955272616535e-22
"Trh",8.34922765681524e-26,-1.72392751822975,0.471,0.8,1.4835742623395e-21
