"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Mt2",2.02097322549411e-78,3.84383993007976,0.979,0.424,3.59106732438048e-74
"Mt1",7.62882806241904e-69,2.98571761012863,0.973,0.582,1.35556645841124e-64
"Gm8292",1.33443436998903e-48,2.61987832423257,0.87,0.418,2.3711564320335e-44
"Rps24",1.40150188421079e-45,2.28287540486584,0.944,0.776,2.49032869805415e-41
"Nanog",5.39580189237994e-45,1.34649231215846,0.97,0.703,9.58780038256991e-41
"Ddx5",2.7345933483512e-44,1.39573718335905,0.933,0.558,4.85909892068524e-40
"Asns",1.07356096389792e-41,1.17602392876015,0.984,0.891,1.90761047675022e-37
"Cox7a2",4.65979079875235e-39,1.80028248017444,0.708,0.139,8.27998227030305e-35
"Psma2",6.26996861905181e-39,1.91041427074227,0.704,0.133,1.11411072391932e-34
"Ywhae",1.95832591944477e-38,1.02886392779366,0.989,0.879,3.47974932626141e-34
"Rps27a",1.06027442470183e-37,1.1293125703264,0.947,0.8,1.88400162525268e-33
"Rps24-ps3",1.92269229445807e-35,1.47706402288222,0.692,0.152,3.41643193802254e-31
"Grsf1",5.1805678032554e-35,1.3990269890626,0.753,0.224,9.20535092960451e-31
"Gm7363",1.07044769386634e-31,1.42392359664255,0.699,0.224,1.9020785072311e-27
"Rpl10l",1.19772490020823e-31,1.08341425553144,0.913,0.6,2.12823737518e-27
"Gm13532",1.04383506668792e-30,1.18877678942484,0.806,0.424,1.85479052999777e-26
"Uqcrc2",1.46659506897073e-30,1.20724026522585,0.651,0.145,2.60599277805409e-26
"Rps25",1.49043533866284e-27,2.25057847025073,0.571,0.097,2.64835455327e-23
"Gdi2",6.17461736145526e-27,1.16058240994975,0.702,0.242,1.09716775895699e-22
"Hdgf",1.85044996708138e-25,1.00873331855388,0.821,0.461,3.2880645465069e-21
"Gm13493",1.16521715667854e-24,1.04702151062028,0.748,0.333,2.0704743657021e-20
"Gm16247",1.01606410029926e-23,1.14020488899356,0.596,0.17,1.80544429982175e-19
"Cdc42",4.37092023517745e-21,1.00170351431683,0.649,0.267,7.76668816588681e-17
"Rps25-ps1",1.0214298758683e-20,1.26997709611633,0.415,0.024,1.81497874643038e-16
