query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents
query_1,TRUE,0.0118370401266829,115,2,2,1,0.0173913043478261,GO:0006090,GO:BP,pyruvate metabolic process,27543,2121,GO:0032787
query_1,TRUE,0.0199107863366599,149,2,2,1,0.0134228187919463,GO:0016052,GO:BP,carbohydrate catabolic process,27543,5652,GO:0005975|GO:1901575
query_1,TRUE,0.0459125469444564,226,2,2,1,0.00884955752212389,GO:0006006,GO:BP,glucose metabolic process,27543,2040,GO:0019318
query_1,TRUE,0.00176319320778481,10,2,2,1,0.2,HP:0008305,HP,Exercise-induced myoglobinuria,4671,5271,HP:0002913
query_1,TRUE,0.0127341731673347,26,2,2,1,0.0769230769230769,HP:0003738,HP,Exercise-induced myalgia,4671,2658,HP:0003326
query_1,TRUE,0.0148108229453924,28,2,2,1,0.0714285714285714,HP:0002913,HP,Myoglobinuria,4671,2119,HP:0033354
query_1,TRUE,0.0260952594752152,37,2,2,1,0.0540540540540541,HP:0003201,HP,Rhabdomyolysis,4671,2318,HP:0011805
query_1,TRUE,0.00113309559310069,66,2,2,1,0.0303030303030303,KEGG:00010,KEGG,Glycolysis / Gluconeogenesis,8583,2,KEGG:00000
query_1,TRUE,0.00316685691405065,110,2,2,1,0.0181818181818182,KEGG:04066,KEGG,HIF-1 signaling pathway,8583,241,KEGG:00000
query_1,TRUE,0.00832427652047929,1,1,1,1,1,MIRNA:mmu-miR-449a-3p,MIRNA,mmu-miR-449a-3p,6912,549,MIRNA:000000
query_1,TRUE,0.032671044726173,300,2,2,1,0.00666666666666667,TF:M01874,TF,Factor: EKLF; motif: CCACACCCNS,21833,876,TF:M00000
query_1,TRUE,0.00203426398004329,50,2,2,1,0.04,WP:WP157,WP,Glycolysis and gluconeogenesis,4305,170,WP:000000
